k	a	b	y	z
1	0.041798576	0.039624485	0.015802753	0.016913783
2	0.040513236	0.03736721	0.033969807	0.034863612
3	0.036680293	0.035931856	0.027860283	0.019185297
4	0.028538358	0.028526197	0.017811839	0.017687138
5	0.02030112	0.01974306	0.015910543	0.014236308
13	0.001539071	0.001843071	0.002523053	0.002681272
14	0.000981444	0.001307763	0.0022572	0.002574446
15	0.000613751	0.000929579	0.000793887	0.001335829
16	0.000190385	0.00052025	0.000516926	0.00049049
17	0.000048608	0.000381851	0.00059497	0.0005979
