x,10,25,50,75
0.0176,0.032009,0.051347,0.07614,0.062258
0.0198,0.032626,0.053158,0.076904,0.06349
0.0274,0.034737,0.059183,0.079472,0.067731
0.0298,0.035427,0.060999,0.080286,0.069123
0.0637,0.04465,0.076403,0.089411,0.087475
0.0792,0.048474,0.07991,0.092378,0.094473
0.0892,0.050701,0.081736,0.093987,0.098093
0.113,0.055338,0.085546,0.097155,0.10228
0.1137,0.055462,0.085651,0.097234,0.095174
0.1372,0.05994,0.089736,0.099659,0.102532
0.14,0.060613,0.090439,0.099912,0.103354
0.142,0.061162,0.090991,0.100086,0.103894
0.1473,0.062899,0.092438,0.10054,0.105086
0.1762,0.067406,0.096265,0.102714,0.104034
0.1796,0.067718,0.09654,0.102948,0.104254
0.2331,0.071484,0.099558,0.106019,0.110437
0.2628,0.073245,0.100787,0.107419,0.109025
0.2735,0.07385,0.10119,0.107884,0.109296
0.3246,0.076586,0.102947,0.109879,0.116752
0.3399,0.077365,0.103436,0.110416,0.114825
0.3655,0.078636,0.104227,0.111265,0.110611
0.4167,0.081104,0.105734,0.112804,0.11754
0.4342,0.081949,0.106233,0.113293,0.114558
0.4688,0.083639,0.107195,0.114206,0.118034
0.4742,0.083906,0.107342,0.114343,0.118329
0.5146,0.085983,0.108436,0.115329,0.116487
0.529,0.08675,0.108817,0.115659,0.117509
0.5375,0.087213,0.109043,0.11585,0.117715
0.6067,0.091043,0.110838,0.117256,0.116837
0.6582,0.093797,0.112145,0.118148,0.120608
0.7509,0.098243,0.114467,0.119476,0.120548
0.7596,0.098621,0.114685,0.119585,0.120589
0.7926,0.099993,0.115513,0.119979,0.121881
0.8028,0.1004,0.11577,0.120095,0.122468
0.8509,0.102198,0.116952,0.120604,0.121354
0.9581,0.105689,0.119119,0.121568,0.122989
0.992,0.106677,0.119657,0.121833,0.122332
1.0244,0.107583,0.120142,0.122074,0.122431
1.0382,0.107956,0.120342,0.122171,0.122656
1.2137,0.112252,0.122681,0.123283,0.126259
1.2461,0.112972,0.123071,0.123467,0.126461
1.2891,0.113897,0.123569,0.123704,0.125562
1.3233,0.11461,0.12395,0.123886,0.126502
1.4444,0.116994,0.125195,0.124501,0.12671
1.5311,0.118569,0.125992,0.124918,0.127997
1.748,0.122024,0.127656,0.125913,0.12984
1.7686,0.122314,0.127792,0.126007,0.129886
1.8315,0.123153,0.12818,0.126297,0.129284
1.8321,0.12316,0.128183,0.1263,0.129269
1.8956,0.123931,0.128543,0.126606,0.129294
1.9353,0.124371,0.128754,0.126807,0.129455
2.1831,0.126434,0.129876,0.128226,0.130421
2.3971,0.127541,0.130647,0.129161,0.131213
2.586,0.128311,0.131223,0.129805,0.131875
2.6434,0.128536,0.131384,0.129977,0.132068
2.9138,0.129582,0.13208,0.130676,0.132892
2.9663,0.12978,0.132207,0.130798,0.133031
3.2593,0.130836,0.132884,0.131463,0.133672
3.4551,0.131461,0.133293,0.131909,0.134022
3.5174,0.131636,0.133415,0.132043,0.134132
3.8578,0.132291,0.134001,0.132665,0.134703
4.0421,0.132503,0.134265,0.132947,0.13495
4.2246,0.132687,0.134486,0.133203,0.13512
4.307,0.132769,0.134573,0.133314,0.135167
5.0609,0.133528,0.135125,0.134212,0.135306
5.0724,0.13354,0.135131,0.134224,0.135311
5.6597,0.134111,0.135388,0.134775,0.135656
5.9073,0.134334,0.135478,0.134946,0.135808
6.1259,0.134511,0.135552,0.135061,0.135911
6.6384,0.134942,0.135712,0.135219,0.135949
6.9204,0.135515,0.135794,0.13529,0.13591
6.9952,0.13562,0.135816,0.135314,0.135904
7.024,0.135652,0.135824,0.135323,0.135903
7.1219,0.135727,0.135853,0.135358,0.135905
8.0545,0.135706,0.136129,0.135753,0.136157
8.1466,0.135712,0.136157,0.135788,0.136192
8.1927,0.135716,0.13617,0.135805,0.136209
8.2042,0.135718,0.136174,0.13581,0.136213
9.344,0.136106,0.136488,0.136131,0.136585
9.3786,0.136123,0.136497,0.136141,0.136591
9.3959,0.136131,0.136501,0.136146,0.136594
9.9543,0.136404,0.136579,0.136397,0.136498
9.9658,0.13641,0.136579,0.136404,0.136492
9.9658,0.13641,0.136579,0.136404,0.136492
9.9658,0.13641,0.136579,0.136404,0.136492
